City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
620,Tambilil,PH,81.91,overcast clouds,5.9622,124.6697,Wilfredo Sotto Home
623,Patterson,US,84.0,few clouds,37.4716,-121.1297,Best Western Plus Villa Del Lago Inn
626,Umm Kaddadah,SD,81.09,overcast clouds,13.6017,26.6876,
630,Mayumba,GA,77.09,overcast clouds,-3.432,10.6554,LIKWALE LODGE
634,Ambajogai,IN,86.25,broken clouds,18.7333,76.3833,Hotel Krushnai
642,Caaguazu,PY,79.36,broken clouds,-25.45,-56.0167,Hotel El Farol
648,Luanda,AO,77.0,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
663,Dwarka,IN,80.73,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
666,Kinablangan,PH,77.29,light rain,7.6947,126.5503,Morales Eatery and Lodging House
668,Kupang,ID,76.8,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
670,Vanimo,PG,80.53,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
